id,name_en,name_ar,category,uses,side_effects
11,"Cetal Syrup","سيتال شراب",Painkillers,"تُستخدم سيتال شراب كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
12,"Cetal Suppositories","سيتال لبوس",Painkillers,"تُستخدم سيتال لبوس كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
13,"Adol Tablets","أدول أقراص",Painkillers,"تُستخدم أدول أقراص كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
14,"Adol Syrup","أدول شراب",Painkillers,"تُستخدم أدول شراب كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
15,"Adol Suppositories","أدول لبوس",Painkillers,"تُستخدم أدول لبوس كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
16,"Paramol Tablets","باراموال أقراص",Painkillers,"تُستخدم باراموال أقراص كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
17,"Abimol Tablets","أبيمول أقراص",Painkillers,"تُستخدم أبيمول أقراص كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
18,"Megafen Tablets","ميجافين أقراص",Painkillers,"تُستخدم ميجافين أقراص كمضاد للالتهابات غير الستيرويدية (NSAID) يعمل كمسكن قوي للآلام المتوسطة إلى الشديدة، ويُستخدم بشكل واسع لخفض الحرارة، وتقليل التورم والالتهاب المرافق لالتهاب المفاصل، الكدمات، آلام الأسنان المبرحة والآلام الروماتيزمية.","شائعاً ما يسبب اضطرابات في المعدة كالتهاب الجدار المعدي أو الحموضة وحرقان الصدر، ويحظر استخدامه لمرضى قرحة المعدة أو الربو الشديد."
19,"Brufen 400mg Tablets","بروفين أقراص 400 مجم",Painkillers,"تُستخدم بروفين أقراص 400 مجم كمضاد للالتهابات غير الستيرويدية (NSAID) يعمل كمسكن قوي للآلام المتوسطة إلى الشديدة، ويُستخدم بشكل واسع لخفض الحرارة، وتقليل التورم والالتهاب المرافق لالتهاب المفاصل، الكدمات، آلام الأسنان المبرحة والآلام الروماتيزمية.","شائعاً ما يسبب اضطرابات في المعدة كالتهاب الجدار المعدي أو الحموضة وحرقان الصدر، ويحظر استخدامه لمرضى قرحة المعدة أو الربو الشديد."
20,"Brufen 600mg Tablets","بروفين أقراص 600 مجم",Painkillers,"تُستخدم بروفين أقراص 600 مجم كمضاد للالتهابات غير الستيرويدية (NSAID) يعمل كمسكن قوي للآلام المتوسطة إلى الشديدة، ويُستخدم بشكل واسع لخفض الحرارة، وتقليل التورم والالتهاب المرافق لالتهاب المفاصل، الكدمات، آلام الأسنان المبرحة والآلام الروماتيزمية.","شائعاً ما يسبب اضطرابات في المعدة كالتهاب الجدار المعدي أو الحموضة وحرقان الصدر، ويحظر استخدامه لمرضى قرحة المعدة أو الربو الشديد."
21,"Brufen Syrup","بروفين شراب",Painkillers,"تُستخدم بروفين شراب كمضاد للالتهابات غير الستيرويدية (NSAID) يعمل كمسكن قوي للآلام المتوسطة إلى الشديدة، ويُستخدم بشكل واسع لخفض الحرارة، وتقليل التورم والالتهاب المرافق لالتهاب المفاصل، الكدمات، آلام الأسنان المبرحة والآلام الروماتيزمية.","شائعاً ما يسبب اضطرابات في المعدة كالتهاب الجدار المعدي أو الحموضة وحرقان الصدر، ويحظر استخدامه لمرضى قرحة المعدة أو الربو الشديد."
22,"Brufen 200mg Tablets","بروفين أقراص 200 مجم",Painkillers,"تُستخدم بروفين أقراص 200 مجم كمضاد للالتهابات غير الستيرويدية (NSAID) يعمل كمسكن قوي للآلام المتوسطة إلى الشديدة، ويُستخدم بشكل واسع لخفض الحرارة، وتقليل التورم والالتهاب المرافق لالتهاب المفاصل، الكدمات، آلام الأسنان المبرحة والآلام الروماتيزمية.","شائعاً ما يسبب اضطرابات في المعدة كالتهاب الجدار المعدي أو الحموضة وحرقان الصدر، ويحظر استخدامه لمرضى قرحة المعدة أو الربو الشديد."
23,"Voltaren 50mg Tablets","فولتارين أقراص 50 مجم",Painkillers,"تُستخدم فولتارين أقراص 50 مجم كمضاد التهاب ومسكن قوي لآلام العظام الشديدة، الهجمات الروماتيزمية الحادة، هشاشة العظام، وآلام ما بعد العمليات الجراحية الموضعية والكسور.","قد يسبب الاستخدام المطول ألماً في المعدة أو قرحة معدية، وارتفاعاً طفيفاً في ضغط الدم، ولا يُنصح باستخدامه لمرضى القلب دون استشارة طبيب."
24,"Voltaren 75mg Ampoules","فولتارين أمبولات 75 مجم",Painkillers,"تُستخدم فولتارين أمبولات 75 مجم كمضاد التهاب ومسكن قوي لآلام العظام الشديدة، الهجمات الروماتيزمية الحادة، هشاشة العظام، وآلام ما بعد العمليات الجراحية الموضعية والكسور.","قد يسبب الاستخدام المطول ألماً في المعدة أو قرحة معدية، وارتفاعاً طفيفاً في ضغط الدم، ولا يُنصح باستخدامه لمرضى القلب دون استشارة طبيب."
25,"Voltaren Gel","فولتارين جل",Painkillers,"تُستخدم فولتارين جل كمضاد التهاب ومسكن قوي لآلام العظام الشديدة، الهجمات الروماتيزمية الحادة، هشاشة العظام، وآلام ما بعد العمليات الجراحية الموضعية والكسور.","قد يسبب الاستخدام المطول ألماً في المعدة أو قرحة معدية، وارتفاعاً طفيفاً في ضغط الدم، ولا يُنصح باستخدامه لمرضى القلب دون استشارة طبيب."
26,"Voltaren Suppositories","فولتارين لبوس",Painkillers,"تُستخدم فولتارين لبوس كمضاد التهاب ومسكن قوي لآلام العظام الشديدة، الهجمات الروماتيزمية الحادة، هشاشة العظام، وآلام ما بعد العمليات الجراحية الموضعية والكسور.","قد يسبب الاستخدام المطول ألماً في المعدة أو قرحة معدية، وارتفاعاً طفيفاً في ضغط الدم، ولا يُنصح باستخدامه لمرضى القلب دون استشارة طبيب."
27,"Cataflam 50mg Tablets","كتافلام أقراص 50 مجم",Painkillers,"تُستخدم كتافلام أقراص 50 مجم كمضاد التهاب ومسكن قوي لآلام العظام الشديدة، الهجمات الروماتيزمية الحادة، هشاشة العظام، وآلام ما بعد العمليات الجراحية الموضعية والكسور.","قد يسبب الاستخدام المطول ألماً في المعدة أو قرحة معدية، وارتفاعاً طفيفاً في ضغط الدم، ولا يُنصح باستخدامه لمرضى القلب دون استشارة طبيب."
28,"Ketofan 100mg Tablets","كيتوفان أقراص 100 مجم",Painkillers,"تُستخدم كيتوفان أقراص 100 مجم كمسكن قوي للآلام الجسدية والعضلية والتهابات الأوتار والالتواءات الرياضية الحادة، بالإضافة لتسكين آلام الأسنان العميقة.","أعراض هضمية كالغثيان وألم محيط المعدة، ويجب تجنبه في حالات مرضى القرحة أو القصور الكلوي الشديد."
29,"Ketofan Ampoules","كيتوفان أمبولات",Painkillers,"تُستخدم كيتوفان أمبولات كمسكن قوي للآلام الجسدية والعضلية والتهابات الأوتار والالتواءات الرياضية الحادة، بالإضافة لتسكين آلام الأسنان العميقة.","أعراض هضمية كالغثيان وألم محيط المعدة، ويجب تجنبه في حالات مرضى القرحة أو القصور الكلوي الشديد."
30,"Celebrex 200mg Capsules","سيليبريكس كبسولات 200 مجم",Painkillers,"تُستخدم سيليبريكس كبسولات 200 مجم كمسكن وآمن نسبياً على المعدة يستهدف تخفيف أعراض الفصال العظمي الدائم، التهاب المفاصل الروماتويدي المزمن، وتسكين آلام أسفل الظهر الحادة.","آمن على المعدة بشكل أفضل من المسكنات العادية، لكنه قد يزيد من خطر حدوث الجلطات لمرضى القلب والأوعية الدموية عند الاستخدام بجرعات عالية."
31,"Arcoxia 90mg Tablets","أركوكسيا أقراص 90 مجم",Painkillers,"تُستخدم أركوكسيا أقراص 90 مجم كمسكن وآمن نسبياً على المعدة يستهدف تخفيف أعراض الفصال العظمي الدائم، التهاب المفاصل الروماتويدي المزمن، وتسكين آلام أسفل الظهر الحادة.","آمن على المعدة بشكل أفضل من المسكنات العادية، لكنه قد يزيد من خطر حدوث الجلطات لمرضى القلب والأوعية الدموية عند الاستخدام بجرعات عالية."
32,"Mobic 15mg Tablets","موبيك أقراص 15 مجم",Painkillers,"تُستخدم موبيك أقراص 15 مجم كمسكن وآمن نسبياً على المعدة يستهدف تخفيف أعراض الفصال العظمي الدائم، التهاب المفاصل الروماتويدي المزمن، وتسكين آلام أسفل الظهر الحادة.","آمن على المعدة بشكل أفضل من المسكنات العادية، لكنه قد يزيد من خطر حدوث الجلطات لمرضى القلب والأوعية الدموية عند الاستخدام بجرعات عالية."
33,"Indocid Capsules","إندوسيد كبسولات",Painkillers,"تُستخدم إندوسيد كبسولات كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
34,"Novaldol Tablets","نوفالدول أقراص",Painkillers,"تُستخدم نوفالدول أقراص كمسكن قوي وفعال لآلام الهيكل العظمي والمفاصل، وخافض سريع لحرارة الجسم المرتفعة (الحمى). يُستخدم بكفاءة لعلاج الصداع أو الصداع النصفي، آلام الدورة الشهرية لدى النساء، والتهابات الحلق المرافقة لنزلات البرد وتخفيف آلام الأسنان.","يعتبر آمناً جداً عند الاستخدام المعتدل، ولكن الجرعات الزائدة المتكررة قد تسبب إجهاداً شديداً لوظائف الكبد، وفي حالات نادرة قد يحدث طفح جلدي طفيف."
35,"Augmentin 625mg Tablets","أوجمنتين أقراص 625 مجم",Antibiotics,"تُستخدم أوجمنتين أقراص 625 مجم كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
36,"Augmentin 1g Tablets","أوجمنتين أقراص 1 جرام",Antibiotics,"تُستخدم أوجمنتين أقراص 1 جرام كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
37,"Augmentin 457mg Suspension","أوجمنتين معلق 457 مجم",Antibiotics,"تُستخدم أوجمنتين معلق 457 مجم كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
38,"Augmentin Ampoules","أوجمنتين أمبولات",Antibiotics,"تُستخدم أوجمنتين أمبولات كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
39,"Amoxil 500mg Capsules","أموكسيل كبسولات 500 مجم",Antibiotics,"تُستخدم أموكسيل كبسولات 500 مجم كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
40,"Amoxil 250mg Suspension","أموكسيل معلق 250 مجم",Antibiotics,"تُستخدم أموكسيل معلق 250 مجم كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
41,"Flumox 500mg Capsules","فلوموكس كبسولات 500 مجم",Antibiotics,"تُستخدم فلوموكس كبسولات 500 مجم كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
42,"Flumox 1g Tablets","فلوموكس أقراص 1 جرام",Antibiotics,"تُستخدم فلوموكس أقراص 1 جرام كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
43,"Curam 625mg Tablets","كيورام أقراص 625 مجم",Antibiotics,"تُستخدم كيورام أقراص 625 مجم كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
44,"Hibiotic 500mg Capsules","هايبيوتيك كبسولات 500 مجم",Antibiotics,"تُستخدم هايبيوتيك كبسولات 500 مجم كمضاد حيوي واسع المجال بتركيبة البنسلين، يُستخدم بفعالية فائقة للقضاء على الالتهابات البكتيرية في الجهاز التنفسي العلوي والسفلي (كالتهاب اللوزتين والجيوب الأنفية والالتهاب الرئوي)، بالإضافة لمعالجة التهابات الأذن والمسالك البولية وعدوى الأسنان.","قد يصاحبه إسهال أو اضطرابات هضمية خفيفة. يجب التوقف فوراً ومراجعة الطبيب إذا ظهر طفح جلدي كثيف أو تورم يشير لحساسية من البنسلين."
45,"Zithromax 500mg Tablets","زيثروماكس أقراص 500 مجم",Antibiotics,"تُستخدم زيثروماكس أقراص 500 مجم كمضاد حيوي قوي يُستخدم لعلاج التهابات الجهاز التنفسي الحادة، التهاب الشعب الهوائية المزمن، والتهابات الحلق لدى المرضى الذين يعانون من حساسية تجاه البنسلين، كما يعالج بعض أنواع العدوى الجلدية.","غثيان أو قيء بسيط مع إسهال، وفي حالات نادرة جداً قد يسبب تسارعاً في ضربات القلب أو تغيراً في حاسة التذوق."
46,"Xithrone 500mg Tablets","زيثيرون أقراص 500 مجم",Antibiotics,"تُستخدم زيثيرون أقراص 500 مجم كمضاد حيوي قوي يُستخدم لعلاج التهابات الجهاز التنفسي الحادة، التهاب الشعب الهوائية المزمن، والتهابات الحلق لدى المرضى الذين يعانون من حساسية تجاه البنسلين، كما يعالج بعض أنواع العدوى الجلدية.","غثيان أو قيء بسيط مع إسهال، وفي حالات نادرة جداً قد يسبب تسارعاً في ضربات القلب أو تغيراً في حاسة التذوق."
47,"Klacid 500mg Tablets","كلاسيد أقراص 500 مجم",Antibiotics,"تُستخدم كلاسيد أقراص 500 مجم كمضاد حيوي قوي يُستخدم لعلاج التهابات الجهاز التنفسي الحادة، التهاب الشعب الهوائية المزمن، والتهابات الحلق لدى المرضى الذين يعانون من حساسية تجاه البنسلين، كما يعالج بعض أنواع العدوى الجلدية.","غثيان أو قيء بسيط مع إسهال، وفي حالات نادرة جداً قد يسبب تسارعاً في ضربات القلب أو تغيراً في حاسة التذوق."
48,"Klacid 250mg Suspension","كلاسيد معلق 250 مجم",Antibiotics,"تُستخدم كلاسيد معلق 250 مجم كمضاد حيوي قوي يُستخدم لعلاج التهابات الجهاز التنفسي الحادة، التهاب الشعب الهوائية المزمن، والتهابات الحلق لدى المرضى الذين يعانون من حساسية تجاه البنسلين، كما يعالج بعض أنواع العدوى الجلدية.","غثيان أو قيء بسيط مع إسهال، وفي حالات نادرة جداً قد يسبب تسارعاً في ضربات القلب أو تغيراً في حاسة التذوق."
49,"Rovamycine 3MIU Tablets","روفاميسين أقراص 3 مليون",Antibiotics,"تُستخدم روفاميسين أقراص 3 مليون كمضاد حيوي قوي يُستخدم لعلاج التهابات الجهاز التنفسي الحادة، التهاب الشعب الهوائية المزمن، والتهابات الحلق لدى المرضى الذين يعانون من حساسية تجاه البنسلين، كما يعالج بعض أنواع العدوى الجلدية.","غثيان أو قيء بسيط مع إسهال، وفي حالات نادرة جداً قد يسبب تسارعاً في ضربات القلب أو تغيراً في حاسة التذوق."
50,"Ciprobay 500mg Tablets","سيبروباي أقراص 500 مجم",Antibiotics,"تُستخدم سيبروباي أقراص 500 مجم كمضاد حيوي شديد الفعالية موجه خصيصاً لعلاج التهابات المسالك البولية المعقدة، التهاب البروستاتا، والعدوى البكتيرية المعوية القوية التي تسبب الإسهال الحاد.","قد يسبب التهابات واضحة في الأوتار وألماً عضلياً، ويحظر إعطاؤه للأطفال والنساء الحوامل لعدم أمانه على نمو المفاصل والعظام."
